x,y,T
0,0,293.349
0.000502513,0,293.349
0.00100503,0,293.35
0.00150754,0,293.351
0.00201005,0,293.353
0.00251256,0,293.355
0.00301508,0,293.357
0.00351759,0,293.36
0.0040201,0,293.363
0.00452261,0,293.367
0.00502513,0,293.371
0.00552764,0,293.375
0.00603015,0,293.379
0.00653266,0,293.384
0.00703518,0,293.39
0.00753769,0,293.395
0.0080402,0,293.402
0.00854271,0,293.408
0.00904523,0,293.415
0.00954774,0,293.422
0.0100503,0,293.43
0.0105528,0,293.438
0.0110553,0,293.446
0.0115578,0,293.455
0.0120603,0,293.464
0.0125628,0,293.474
0.0130653,0,293.484
0.0135678,0,293.495
0.0140704,0,293.505
0.0145729,0,293.516
0.0150754,0,293.528
0.0155779,0,293.54
0.0160804,0,293.552
0.0165829,0,293.565
0.0170854,0,293.578
0.0175879,0,293.591
0.0180905,0,293.605
0.018593,0,293.619
0.0190955,0,293.634
0.019598,0,293.649
0.0201005,0,293.664
0.020603,0,293.68
0.0211055,0,293.695
0.021608,0,293.712
0.0221106,0,293.728
0.0226131,0,293.745
0.0231156,0,293.762
0.0236181,0,293.779
0.0241206,0,293.797
0.0246231,0,293.814
0.0251256,0,293.832
0.0256281,0,293.851
0.0261307,0,293.869
0.0266332,0,293.887
0.0271357,0,293.906
0.0276382,0,293.925
0.0281407,0,293.944
0.0286432,0,293.963
0.0291457,0,293.982
0.0296482,0,294.001
0.0301508,0,294.02
0.0306533,0,294.038
0.0311558,0,294.057
0.0316583,0,294.076
0.0321608,0,294.095
0.0326633,0,294.113
0.0331658,0,294.132
0.0336683,0,294.15
0.0341709,0,294.168
0.0346734,0,294.186
0.0351759,0,294.203
0.0356784,0,294.22
0.0361809,0,294.237
0.0366834,0,294.254
0.0371859,0,294.27
0.0376884,0,294.285
0.038191,0,294.301
0.0386935,0,294.315
0.039196,0,294.33
0.0396985,0,294.343
0.040201,0,294.357
0.0407035,0,294.369
0.041206,0,294.381
0.0417085,0,294.393
0.0422111,0,294.404
0.0427136,0,294.414
0.0432161,0,294.424
0.0437186,0,294.433
0.0442211,0,294.441
0.0447236,0,294.449
0.0452261,0,294.456
0.0457286,0,294.462
0.0462312,0,294.468
0.0467337,0,294.473
0.0472362,0,294.477
0.0477387,0,294.48
0.0482412,0,294.483
0.0487437,0,294.485
0.0492462,0,294.486
0.0497487,0,294.486
0.0502513,0,294.486
0.0507538,0,294.485
0.0512563,0,294.483
0.0517588,0,294.481
0.0522613,0,294.477
0.0527638,0,294.473
0.0532663,0,294.469
0.0537688,0,294.463
0.0542714,0,294.457
0.0547739,0,294.45
0.0552764,0,294.443
