x,z,T
0,0,293.424
0.000502513,0,293.425
0.00100503,0,293.426
0.00150754,0,293.428
0.00201005,0,293.431
0.00251256,0,293.434
0.00301508,0,293.438
0.00351759,0,293.443
0.0040201,0,293.448
0.00452261,0,293.454
0.00502513,0,293.461
0.00552764,0,293.468
0.00603015,0,293.476
0.00653266,0,293.485
0.00703518,0,293.495
0.00753769,0,293.505
0.0080402,0,293.516
0.00854271,0,293.528
0.00904523,0,293.541
0.00954774,0,293.554
0.0100503,0,293.569
0.0105528,0,293.584
0.0110553,0,293.6
0.0115578,0,293.617
0.0120603,0,293.635
0.0125628,0,293.654
0.0130653,0,293.675
0.0135678,0,293.696
0.0140704,0,293.718
0.0145729,0,293.741
0.0150754,0,293.766
0.0155779,0,293.791
0.0160804,0,293.818
0.0165829,0,293.847
0.0170854,0,293.876
0.0175879,0,293.907
0.0180905,0,293.939
0.018593,0,293.973
0.0190955,0,294.009
0.019598,0,294.046
0.0201005,0,294.085
0.020603,0,294.125
0.0211055,0,294.167
0.021608,0,294.212
0.0221106,0,294.258
0.0226131,0,294.306
0.0231156,0,294.356
0.0236181,0,294.409
0.0241206,0,294.464
0.0246231,0,294.521
0.0251256,0,294.581
0.0256281,0,294.644
0.0261307,0,294.709
0.0266332,0,294.777
0.0271357,0,294.848
0.0276382,0,294.923
0.0281407,0,295
0.0286432,0,295.08
0.0291457,0,295.164
0.0296482,0,295.25
0.0301508,0,295.34
0.0306533,0,295.433
0.0311558,0,295.528
0.0316583,0,295.625
0.0321608,0,295.724
0.0326633,0,295.824
0.0331658,0,295.925
0.0336683,0,296.024
0.0341709,0,296.122
0.0346734,0,296.217
0.0351759,0,296.31
0.0356784,0,296.4
0.0361809,0,296.486
0.0366834,0,296.568
0.0371859,0,296.646
0.0376884,0,296.721
0.038191,0,296.792
0.0386935,0,296.859
0.039196,0,296.922
0.0396985,0,296.982
0.040201,0,297.038
0.0407035,0,297.091
0.041206,0,297.141
0.0417085,0,297.187
0.0422111,0,297.229
0.0427136,0,297.269
0.0432161,0,297.306
0.0437186,0,297.34
0.0442211,0,297.37
0.0447236,0,297.398
0.0452261,0,297.423
0.0457286,0,297.446
0.0462312,0,297.465
0.0467337,0,297.482
0.0472362,0,297.497
0.0477387,0,297.508
0.0482412,0,297.517
0.0487437,0,297.524
0.0492462,0,297.528
0.0497487,0,297.529
0.0502513,0,297.528
0.0507538,0,297.524
0.0512563,0,297.518
0.0517588,0,297.509
0.0522613,0,297.497
0.0527638,0,297.483
0.0532663,0,297.466
0.0537688,0,297.447
0.0542714,0,297.425
0.0547739,0,297.4
0.0552764,0,297.372
0.0557789,0,297.341
0.0562814,0,297.307
0.0567839,0,297.271
0.0572864,0,297.231
0.0577889,0,297.188
0.0582915,0,297.143
0.058794,0,297.093
0.0592965,0,297.041
0.059799,0,296.984
0.0603015,0,296.925
0.060804,0,296.862
0.0613065,0,296.795
0.061809,0,296.724
0.0623116,0,296.649
0.0628141,0,296.571
0.0633166,0,296.488
0.0638191,0,296.403
0.0643216,0,296.313
0.0648241,0,296.22
0.0653266,0,296.125
0.0658291,0,296.027
0.0663317,0,295.928
0.0668342,0,295.828
0.0673367,0,295.728
0.0678392,0,295.629
0.0683417,0,295.531
0.0688442,0,295.436
0.0693467,0,295.343
0.0698492,0,295.254
0.0703518,0,295.167
0.0708543,0,295.084
0.0713568,0,295.003
0.0718593,0,294.926
0.0723618,0,294.852
0.0728643,0,294.781
0.0733668,0,294.713
0.0738693,0,294.647
0.0743719,0,294.585
0.0748744,0,294.525
0.0753769,0,294.467
0.0758794,0,294.412
0.0763819,0,294.36
0.0768844,0,294.309
0.0773869,0,294.261
0.0778894,0,294.215
0.078392,0,294.17
0.0788945,0,294.128
0.079397,0,294.087
0.0798995,0,294.049
0.080402,0,294.011
0.0809045,0,293.976
0.081407,0,293.942
0.0819095,0,293.909
0.0824121,0,293.878
0.0829146,0,293.848
0.0834171,0,293.82
0.0839196,0,293.793
0.0844221,0,293.767
0.0849246,0,293.743
0.0854271,0,293.719
0.0859296,0,293.697
0.0864322,0,293.675
0.0869347,0,293.655
0.0874372,0,293.636
0.0879397,0,293.617
0.0884422,0,293.6
0.0889447,0,293.584
0.0894472,0,293.568
0.0899497,0,293.553
0.0904523,0,293.54
0.0909548,0,293.527
0.0914573,0,293.514
0.0919598,0,293.503
0.0924623,0,293.492
0.0929648,0,293.482
0.0934673,0,293.473
0.0939698,0,293.465
0.0944724,0,293.457
0.0949749,0,293.45
0.0954774,0,293.444
0.0959799,0,293.438
0.0964824,0,293.433
0.0969849,0,293.428
0.0974874,0,293.425
0.0979899,0,293.421
0.0984925,0,293.419
0.098995,0,293.417
0.0994975,0,293.416
0.1,0,293.415
0,0.000204082,293.424
0.000502513,0.000204082,293.425
0.00100503,0.000204082,293.427
0.00150754,0.000204082,293.429
0.00201005,0.000204082,293.431
0.00251256,0.000204082,293.435
0.00301508,0.000204082,293.439
0.00351759,0.000204082,293.443
0.0040201,0.000204082,293.449
0.00452261,0.000204082,293.455
0.00502513,0.000204082,293.461
0.00552764,0.000204082,293.469
0.00603015,0.000204082,293.477
0.00653266,0.000204082,293.486
0.00703518,0.000204082,293.495
0.00753769,0.000204082,293.506
0.0080402,0.000204082,293.517
0.00854271,0.000204082,293.529
0.00904523,0.000204082,293.541
0.00954774,0.000204082,293.555
0.0100503,0.000204082,293.569
0.0105528,0.000204082,293.585
0.0110553,0.000204082,293.601
