y,z,T
0,0,294.459
0.000606061,0,294.461
0.00121212,0,294.466
0.00181818,0,294.475
0.00242424,0,294.487
0.0030303,0,294.503
0.00363636,0,294.522
0.00424242,0,294.544
0.00484848,0,294.57
0.00545455,0,294.599
0.00606061,0,294.633
0.00666667,0,294.669
0.00727273,0,294.71
0.00787879,0,294.754
0.00848485,0,294.802
0.00909091,0,294.854
0.00969697,0,294.91
0.010303,0,294.97
0.0109091,0,295.034
0.0115152,0,295.103
0.0121212,0,295.176
0.0127273,0,295.253
0.0133333,0,295.336
0.0139394,0,295.422
0.0145455,0,295.514
0.0151515,0,295.61
0.0157576,0,295.711
0.0163636,0,295.816
0.0169697,0,295.925
0.0175758,0,296.039
0.0181818,0,296.155
0.0187879,0,296.274
0.0193939,0,296.393
0.02,0,296.511
0.0206061,0,296.627
0.0212121,0,296.739
0.0218182,0,296.846
0.0224242,0,296.946
0.0230303,0,297.039
0.0236364,0,297.125
0.0242424,0,297.202
0.0248485,0,297.272
0.0254545,0,297.333
0.0260606,0,297.386
0.0266667,0,297.431
0.0272727,0,297.468
0.0278788,0,297.496
0.0284848,0,297.516
0.0290909,0,297.528
0.029697,0,297.532
0.030303,0,297.528
0.0309091,0,297.515
0.0315152,0,297.495
0.0321212,0,297.466
0.0327273,0,297.429
0.0333333,0,297.383
0.0339394,0,297.33
0.0345455,0,297.268
0.0351515,0,297.198
0.0357576,0,297.12
0.0363636,0,297.034
0.0369697,0,296.94
0.0375758,0,296.84
0.0381818,0,296.733
0.0387879,0,296.62
0.0393939,0,296.503
0.04,0,296.384
0.0406061,0,296.264
0.0412121,0,296.145
0.0418182,0,296.028
0.0424242,0,295.914
0.0430303,0,295.804
0.0436364,0,295.697
0.0442424,0,295.596
0.0448485,0,295.499
0.0454545,0,295.406
0.0460606,0,295.318
0.0466667,0,295.235
0.0472727,0,295.156
0.0478788,0,295.082
0.0484848,0,295.012
0.0490909,0,294.946
0.049697,0,294.885
0.050303,0,294.827
0.0509091,0,294.774
0.0515152,0,294.724
0.0521212,0,294.678
0.0527273,0,294.636
0.0533333,0,294.597
0.0539394,0,294.562
0.0545455,0,294.531
0.0551515,0,294.503
0.0557576,0,294.478
0.0563636,0,294.457
0.0569697,0,294.439
0.0575758,0,294.424
0.0581818,0,294.412
0.0587879,0,294.404
0.0593939,0,294.399
0.06,0,294.397
0,0.000204082,294.461
0.000606061,0.000204082,294.463
0.00121212,0.000204082,294.468
0.00181818,0.000204082,294.477
0.00242424,0.000204082,294.489
0.0030303,0.000204082,294.505
0.00363636,0.000204082,294.524
0.00424242,0.000204082,294.546
0.00484848,0.000204082,294.572
0.00545455,0.000204082,294.602
0.00606061,0.000204082,294.635
0.00666667,0.000204082,294.672
0.00727273,0.000204082,294.712
0.00787879,0.000204082,294.756
0.00848485,0.000204082,294.804
0.00909091,0.000204082,294.856
